Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
ABEJORRAL,05002,ANTIOQUIA,ABEJORRAL - ANTIOQUIA,0
ABREGO,54003,NORTE DE SANTANDER,ABREGO - NORTE DE SANTANDER,0
ABRIAQUI,05004,ANTIOQUIA,ABRIAQUI - ANTIOQUIA,0
ACACIAS,50006,META,ACACIAS - META,0
ACANDI,27006,CHOCO,ACANDI - CHOCO,0
ACEVEDO,41006,HUILA,ACEVEDO - HUILA,0
AGRADO,41013,HUILA,AGRADO - HUILA,0
AGUA DE DIOS,25001,CUNDINAMARCA,AGUA DE DIOS - CUNDINAMARCA,0
AGUACHICA,20011,CESAR,AGUACHICA - CESAR,0
AGUADA,68013,SANTANDER,AGUADA - SANTANDER,0
AGUADAS,17013,CALDAS,AGUADAS - CALDAS,0
AGUAZUL,85010,CASANARE,AGUAZUL - CASANARE,0
AGUSTIN CODAZZI,20013,CESAR,AGUSTIN CODAZZI - CESAR,0
AIPE,41016,HUILA,AIPE - HUILA,0
ALBAN,25019,CUNDINAMARCA,ALBAN - CUNDINAMARCA,1
ALBAN,52019,NARIÑO,ALBAN - NARIÑO,2
ALBANIA,18029,CAQUETA,ALBANIA - CAQUETA,1
ALBANIA,44035,LA GUAJIRA,ALBANIA - LA GUAJIRA,2
ALBANIA,68020,SANTANDER,ALBANIA - SANTANDER,3
ALCALA,76020,VALLE DEL CAUCA,ALCALA - VALLE DEL CAUCA,0
ALDANA,52022,NARIÑO,ALDANA - NARIÑO,0
ALEJANDRIA,05021,ANTIOQUIA,ALEJANDRIA - ANTIOQUIA,0
ALGARROBO,47030,MAGDALENA,ALGARROBO - MAGDALENA,0
ALGECIRAS,41020,HUILA,ALGECIRAS - HUILA,0
ALMAGUER,19022,CAUCA,ALMAGUER - CAUCA,0
ALMEIDA,15022,BOYACA,ALMEIDA - BOYACA,0
ALPUJARRA,73024,TOLIMA,ALPUJARRA - TOLIMA,0
ALTAMIRA,41026,HUILA,ALTAMIRA - HUILA,0
ALTO BAUDO,27025,CHOCO,ALTO BAUDO - CHOCO,0
ALTOS DEL ROSARIO,13030,BOLIVAR,ALTOS DEL ROSARIO - BOLIVAR,0
ALVARADO,73026,TOLIMA,ALVARADO - TOLIMA,0
AMAGA,05030,ANTIOQUIA,AMAGA - ANTIOQUIA,0
AMALFI,05031,ANTIOQUIA,AMALFI - ANTIOQUIA,0
AMBALEMA,73030,TOLIMA,AMBALEMA - TOLIMA,0
ANAPOIMA,25035,CUNDINAMARCA,ANAPOIMA - CUNDINAMARCA,0
ANCUYA,52036,NARIÑO,ANCUYA - NARIÑO,0
ANDALUCIA,76036,VALLE DEL CAUCA,ANDALUCIA - VALLE DEL CAUCA,0
ANDES,05034,ANTIOQUIA,ANDES - ANTIOQUIA,0
ANGELOPOLIS,05036,ANTIOQUIA,ANGELOPOLIS - ANTIOQUIA,0
ANGOSTURA,05038,ANTIOQUIA,ANGOSTURA - ANTIOQUIA,0
ANOLAIMA,25040,CUNDINAMARCA,ANOLAIMA - CUNDINAMARCA,0
ANORI,05040,ANTIOQUIA,ANORI - ANTIOQUIA,0
ANSERMA,17042,CALDAS,ANSERMA - CALDAS,0
ANSERMANUEVO,76041,VALLE DEL CAUCA,ANSERMANUEVO - VALLE DEL CAUCA,0
ANZA,05044,ANTIOQUIA,ANZA - ANTIOQUIA,0
ANZOATEGUI,73043,TOLIMA,ANZOATEGUI - TOLIMA,0
APARTADO,05045,ANTIOQUIA,APARTADO - ANTIOQUIA,0
APIA,66045,RISARALDA,APIA - RISARALDA,0
APULO,25599,CUNDINAMARCA,APULO - CUNDINAMARCA,0
AQUITANIA,15047,BOYACA,AQUITANIA - BOYACA,0
ARACATACA,47053,MAGDALENA,ARACATACA - MAGDALENA,0
ARANZAZU,17050,CALDAS,ARANZAZU - CALDAS,0
ARATOCA,68051,SANTANDER,ARATOCA - SANTANDER,0
ARAUCA,81001,ARAUCA,ARAUCA - ARAUCA,0
ARAUQUITA,81065,ARAUCA,ARAUQUITA - ARAUCA,0
ARBELAEZ,25053,CUNDINAMARCA,ARBELAEZ - CUNDINAMARCA,0
ARBOLEDA,52051,NARIÑO,ARBOLEDA - NARIÑO,0
ARBOLEDAS,54051,NORTE DE SANTANDER,ARBOLEDAS - NORTE DE SANTANDER,0
ARBOLETES,05051,ANTIOQUIA,ARBOLETES - ANTIOQUIA,0
ARCABUCO,15051,BOYACA,ARCABUCO - BOYACA,0
ARENAL,13042,BOLIVAR,ARENAL - BOLIVAR,0
ARGELIA,05055,ANTIOQUIA,ARGELIA - ANTIOQUIA,1
ARGELIA,19050,CAUCA,ARGELIA - CAUCA,2
ARGELIA,76054,VALLE DEL CAUCA,ARGELIA - VALLE DEL CAUCA,3
ARIGUANI,47058,MAGDALENA,ARIGUANI - MAGDALENA,0
ARJONA,13052,BOLIVAR,ARJONA - BOLIVAR,0
ARMENIA,05059,ANTIOQUIA,ARMENIA - ANTIOQUIA,1
ARMENIA,63001,QUINDIO,ARMENIA - QUINDIO,2
ARMERO,73055,TOLIMA,ARMERO - TOLIMA,0
ARROYOHONDO,13062,BOLIVAR,ARROYOHONDO - BOLIVAR,0
ASTREA,20032,CESAR,ASTREA - CESAR,0
ATACO,73067,TOLIMA,ATACO - TOLIMA,0
ATRATO,27050,CHOCO,ATRATO - CHOCO,0
AYAPEL,23068,CORDOBA,AYAPEL - CORDOBA,0
BAGADO,27073,CHOCO,BAGADO - CHOCO,0
BAHIA SOLANO,27075,CHOCO,BAHIA SOLANO - CHOCO,0
BAJO BAUDO,27077,CHOCO,BAJO BAUDO - CHOCO,0
BALBOA,19075,CAUCA,BALBOA - CAUCA,1
BALBOA,66075,RISARALDA,BALBOA - RISARALDA,2
BARANOA,08078,ATLANTICO,BARANOA - ATLANTICO,0
BARAYA,41078,HUILA,BARAYA - HUILA,0
BARBACOAS,52079,NARIÑO,BARBACOAS - NARIÑO,0
BARBOSA,05079,ANTIOQUIA,BARBOSA - ANTIOQUIA,1
BARBOSA,68077,SANTANDER,BARBOSA - SANTANDER,2
BARICHARA,68079,SANTANDER,BARICHARA - SANTANDER,0
BARRANCA DE UPIA,50110,META,BARRANCA DE UPIA - META,0
BARRANCABERMEJA,68081,SANTANDER,BARRANCABERMEJA - SANTANDER,0
BARRANCAS,44078,LA GUAJIRA,BARRANCAS - LA GUAJIRA,0
BARRANCO DE LOBA,13074,BOLIVAR,BARRANCO DE LOBA - BOLIVAR,0
BARRANCO MINAS,94343,GUAINIA,BARRANCO MINAS - GUAINIA,0
BARRANQUILLA,08001,ATLANTICO,BARRANQUILLA - ATLANTICO,0
BECERRIL,20045,CESAR,BECERRIL - CESAR,0
BELALCAZAR,17088,CALDAS,BELALCAZAR - CALDAS,0
BELEN,15087,BOYACA,BELEN - BOYACA,1
BELEN,52083,NARIÑO,BELEN - NARIÑO,2
BELEN DE BAJIRA1,27086,CHOCO,BELEN DE BAJIRA1 - CHOCO,0
BELEN DE LOS ANDAQUIES,18094,CAQUETA,BELEN DE LOS ANDAQUIES - CAQUETA,0
BELEN DE UMBRIA,66088,RISARALDA,BELEN DE UMBRIA - RISARALDA,0
BELLO,05088,ANTIOQUIA,BELLO - ANTIOQUIA,0
BELMIRA,05086,ANTIOQUIA,BELMIRA - ANTIOQUIA,0
BELTRAN,25086,CUNDINAMARCA,BELTRAN - CUNDINAMARCA,0
BERBEO,15090,BOYACA,BERBEO - BOYACA,0
BETANIA,05091,ANTIOQUIA,BETANIA - ANTIOQUIA,0
BETEITIVA,15092,BOYACA,BETEITIVA - BOYACA,0
BETULIA,05093,ANTIOQUIA,BETULIA - ANTIOQUIA,1
BETULIA,68092,SANTANDER,BETULIA - SANTANDER,2
BITUIMA,25095,CUNDINAMARCA,BITUIMA - CUNDINAMARCA,0
BOAVITA,15097,BOYACA,BOAVITA - BOYACA,0
BOCHALEMA,54099,NORTE DE SANTANDER,BOCHALEMA - NORTE DE SANTANDER,0
BOGOTA, D.C.,11001,BOGOTA, D.C.,BOGOTA, D.C. - BOGOTA, D.C.,0
BOJACA,25099,CUNDINAMARCA,BOJACA - CUNDINAMARCA,0
BOJAYA,27099,CHOCO,BOJAYA - CHOCO,0
BOLIVAR,19100,CAUCA,BOLIVAR - CAUCA,1
BOLIVAR,68101,SANTANDER,BOLIVAR - SANTANDER,2
BOLIVAR,76100,VALLE DEL CAUCA,BOLIVAR - VALLE DEL CAUCA,3
BOSCONIA,20060,CESAR,BOSCONIA - CESAR,0
BOYACA,15104,BOYACA,BOYACA - BOYACA,0
BRICEÑO,05107,ANTIOQUIA,BRICEÑO - ANTIOQUIA,1
BRICEÑO,15106,BOYACA,BRICEÑO - BOYACA,2
BUCARAMANGA,68001,SANTANDER,BUCARAMANGA - SANTANDER,0
BUCARASICA,54109,NORTE DE SANTANDER,BUCARASICA - NORTE DE SANTANDER,0
BUENAVENTURA,76109,VALLE DEL CAUCA,BUENAVENTURA - VALLE DEL CAUCA,0
BUENAVISTA,15109,BOYACA,BUENAVISTA - BOYACA,1
BUENAVISTA,23079,CORDOBA,BUENAVISTA - CORDOBA,2
BUENAVISTA,63111,QUINDIO,BUENAVISTA - QUINDIO,3
BUENAVISTA,70110,SUCRE,BUENAVISTA - SUCRE,4
BUENOS AIRES,19110,CAUCA,BUENOS AIRES - CAUCA,0
BUESACO,52110,NARIÑO,BUESACO - NARIÑO,0
BUGALAGRANDE,76113,VALLE DEL CAUCA,BUGALAGRANDE - VALLE DEL CAUCA,0
BURITICA,05113,ANTIOQUIA,BURITICA - ANTIOQUIA,0
BUSBANZA,15114,BOYACA,BUSBANZA - BOYACA,0
CABRERA,25120,CUNDINAMARCA,CABRERA - CUNDINAMARCA,1
CABRERA,68121,SANTANDER,CABRERA - SANTANDER,2
CABUYARO,50124,META,CABUYARO - META,0
CACAHUAL,94886,GUAINIA,CACAHUAL - GUAINIA,0
CACERES,05120,ANTIOQUIA,CACERES - ANTIOQUIA,0
CACHIPAY,25123,CUNDINAMARCA,CACHIPAY - CUNDINAMARCA,0
CACHIRA,54128,NORTE DE SANTANDER,CACHIRA - NORTE DE SANTANDER,0
CACOTA,54125,NORTE DE SANTANDER,CACOTA - NORTE DE SANTANDER,0
CAICEDO,05125,ANTIOQUIA,CAICEDO - ANTIOQUIA,0
CAICEDONIA,76122,VALLE DEL CAUCA,CAICEDONIA - VALLE DEL CAUCA,0
CAIMITO,70124,SUCRE,CAIMITO - SUCRE,0
CAJAMARCA,73124,TOLIMA,CAJAMARCA - TOLIMA,0
CAJIBIO,19130,CAUCA,CAJIBIO - CAUCA,0
CAJICA,25126,CUNDINAMARCA,CAJICA - CUNDINAMARCA,0
CALAMAR,13140,BOLIVAR,CALAMAR - BOLIVAR,1
CALAMAR,95015,GUAVIARE,CALAMAR - GUAVIARE,2
CALARCA,63130,QUINDIO,CALARCA - QUINDIO,0
CALDAS,05129,ANTIOQUIA,CALDAS - ANTIOQUIA,1
CALDAS,15131,BOYACA,CALDAS - BOYACA,2
CALDONO,19137,CAUCA,CALDONO - CAUCA,0
CALI,76001,VALLE DEL CAUCA,CALI - VALLE DEL CAUCA,0
CALIFORNIA,68132,SANTANDER,CALIFORNIA - SANTANDER,0
CALIMA,76126,VALLE DEL CAUCA,CALIMA - VALLE DEL CAUCA,0
CALOTO,19142,CAUCA,CALOTO - CAUCA,0
CAMPAMENTO,05134,ANTIOQUIA,CAMPAMENTO - ANTIOQUIA,0
CAMPO DE LA CRUZ,08137,ATLANTICO,CAMPO DE LA CRUZ - ATLANTICO,0
CAMPOALEGRE,41132,HUILA,CAMPOALEGRE - HUILA,0
CAMPOHERMOSO,15135,BOYACA,CAMPOHERMOSO - BOYACA,0
CANALETE,23090,CORDOBA,CANALETE - CORDOBA,0
CANDELARIA,08141,ATLANTICO,CANDELARIA - ATLANTICO,1
CANDELARIA,76130,VALLE DEL CAUCA,CANDELARIA - VALLE DEL CAUCA,2
CANTAGALLO,13160,BOLIVAR,CANTAGALLO - BOLIVAR,0
CAÑASGORDAS,05138,ANTIOQUIA,CAÑASGORDAS - ANTIOQUIA,0
CAPARRAPI,25148,CUNDINAMARCA,CAPARRAPI - CUNDINAMARCA,0
CAPITANEJO,68147,SANTANDER,CAPITANEJO - SANTANDER,0
CAQUEZA,25151,CUNDINAMARCA,CAQUEZA - CUNDINAMARCA,0
CARACOLI,05142,ANTIOQUIA,CARACOLI - ANTIOQUIA,0
CARAMANTA,05145,ANTIOQUIA,CARAMANTA - ANTIOQUIA,0
CARCASI,68152,SANTANDER,CARCASI - SANTANDER,0
CAREPA,05147,ANTIOQUIA,CAREPA - ANTIOQUIA,0
CARMEN DE APICALA,73148,TOLIMA,CARMEN DE APICALA - TOLIMA,0
CARMEN DE CARUPA,25154,CUNDINAMARCA,CARMEN DE CARUPA - CUNDINAMARCA,0
CARMEN DEL DARIEN,27150,CHOCO,CARMEN DEL DARIEN - CHOCO,0
CAROLINA,05150,ANTIOQUIA,CAROLINA - ANTIOQUIA,0
CARTAGENA,13001,BOLIVAR,CARTAGENA - BOLIVAR,0
CARTAGENA DEL CHAIRA,18150,CAQUETA,CARTAGENA DEL CHAIRA - CAQUETA,0
CARTAGO,76147,VALLE DEL CAUCA,CARTAGO - VALLE DEL CAUCA,0
CARURU,97161,VAUPES,CARURU - VAUPES,0
CASABIANCA,73152,TOLIMA,CASABIANCA - TOLIMA,0
CASTILLA LA NUEVA,50150,META,CASTILLA LA NUEVA - META,0
CAUCASIA,05154,ANTIOQUIA,CAUCASIA - ANTIOQUIA,0
CEPITA,68160,SANTANDER,CEPITA - SANTANDER,0
CERETE,23162,CORDOBA,CERETE - CORDOBA,0
CERINZA,15162,BOYACA,CERINZA - BOYACA,0
CERRITO,68162,SANTANDER,CERRITO - SANTANDER,0
CERRO SAN ANTONIO,47161,MAGDALENA,CERRO SAN ANTONIO - MAGDALENA,0
CERTEGUI,27160,CHOCO,CERTEGUI - CHOCO,0
CHACHAGÜI,52240,NARIÑO,CHACHAGÜI - NARIÑO,0
CHAGUANI,25168,CUNDINAMARCA,CHAGUANI - CUNDINAMARCA,0
CHALAN,70230,SUCRE,CHALAN - SUCRE,0
CHAMEZA,85015,CASANARE,CHAMEZA - CASANARE,0
CHAPARRAL,73168,TOLIMA,CHAPARRAL - TOLIMA,0
CHARALA,68167,SANTANDER,CHARALA - SANTANDER,0
CHARTA,68169,SANTANDER,CHARTA - SANTANDER,0
CHIA,25175,CUNDINAMARCA,CHIA - CUNDINAMARCA,0
CHIBOLO,47170,MAGDALENA,CHIBOLO - MAGDALENA,0
CHIGORODO,05172,ANTIOQUIA,CHIGORODO - ANTIOQUIA,0
CHIMA,68176,SANTANDER,CHIMA - SANTANDER,0
CHIMA,23168,CORDOBA,CHIMA - CORDOBA,0
CHIMICHAGUA,20175,CESAR,CHIMICHAGUA - CESAR,0
CHINACOTA,54172,NORTE DE SANTANDER,CHINACOTA - NORTE DE SANTANDER,0
CHINAVITA,15172,BOYACA,CHINAVITA - BOYACA,0
CHINCHINA,17174,CALDAS,CHINCHINA - CALDAS,0
CHINU,23182,CORDOBA,CHINU - CORDOBA,0
CHIPAQUE,25178,CUNDINAMARCA,CHIPAQUE - CUNDINAMARCA,0
CHIPATA,68179,SANTANDER,CHIPATA - SANTANDER,0
CHIQUINQUIRA,15176,BOYACA,CHIQUINQUIRA - BOYACA,0
CHIQUIZA,15232,BOYACA,CHIQUIZA - BOYACA,0
CHIRIGUANA,20178,CESAR,CHIRIGUANA - CESAR,0
CHISCAS,15180,BOYACA,CHISCAS - BOYACA,0
CHITA,15183,BOYACA,CHITA - BOYACA,0
CHITAGA,54174,NORTE DE SANTANDER,CHITAGA - NORTE DE SANTANDER,0
CHITARAQUE,15185,BOYACA,CHITARAQUE - BOYACA,0
CHIVATA,15187,BOYACA,CHIVATA - BOYACA,0
CHIVOR,15236,BOYACA,CHIVOR - BOYACA,0
CHOACHI,25181,CUNDINAMARCA,CHOACHI - CUNDINAMARCA,0
CHOCONTA,25183,CUNDINAMARCA,CHOCONTA - CUNDINAMARCA,0
CICUCO,13188,BOLIVAR,CICUCO - BOLIVAR,0
CIENAGA,47189,MAGDALENA,CIENAGA - MAGDALENA,0
CIENAGA DE ORO,23189,CORDOBA,CIENAGA DE ORO - CORDOBA,0
CIENEGA,15189,BOYACA,CIENEGA - BOYACA,0
CIMITARRA,68190,SANTANDER,CIMITARRA - SANTANDER,0
CIRCASIA,63190,QUINDIO,CIRCASIA - QUINDIO,0
CISNEROS,05190,ANTIOQUIA,CISNEROS - ANTIOQUIA,0
CIUDAD BOLIVAR,05101,ANTIOQUIA,CIUDAD BOLIVAR - ANTIOQUIA,0
CLEMENCIA,13222,BOLIVAR,CLEMENCIA - BOLIVAR,0
COCORNA,05197,ANTIOQUIA,COCORNA - ANTIOQUIA,0
COELLO,73200,TOLIMA,COELLO - TOLIMA,0
COGUA,25200,CUNDINAMARCA,COGUA - CUNDINAMARCA,0
COLOMBIA,41206,HUILA,COLOMBIA - HUILA,0
COLON,52203,NARIÑO,COLON - NARIÑO,1
COLON,86219,PUTUMAYO,COLON - PUTUMAYO,2
COLOSO,70204,SUCRE,COLOSO - SUCRE,0
COMBITA,15204,BOYACA,COMBITA - BOYACA,0
CONCEPCION,05206,ANTIOQUIA,CONCEPCION - ANTIOQUIA,1
CONCEPCION,68207,SANTANDER,CONCEPCION - SANTANDER,2
CONCORDIA,05209,ANTIOQUIA,CONCORDIA - ANTIOQUIA,1
CONCORDIA,47205,MAGDALENA,CONCORDIA - MAGDALENA,2
CONDOTO,27205,CHOCO,CONDOTO - CHOCO,0
CONFINES,68209,SANTANDER,CONFINES - SANTANDER,0
CONSACA,52207,NARIÑO,CONSACA - NARIÑO,0
CONTADERO,52210,NARIÑO,CONTADERO - NARIÑO,0
CONTRATACION,68211,SANTANDER,CONTRATACION - SANTANDER,0
CONVENCION,54206,NORTE DE SANTANDER,CONVENCION - NORTE DE SANTANDER,0
COPACABANA,05212,ANTIOQUIA,COPACABANA - ANTIOQUIA,0
COPER,15212,BOYACA,COPER - BOYACA,0
CORDOBA,13212,BOLIVAR,CORDOBA - BOLIVAR,1
CORDOBA,52215,NARIÑO,CORDOBA - NARIÑO,2
CORDOBA,63212,QUINDIO,CORDOBA - QUINDIO,3
CORINTO,19212,CAUCA,CORINTO - CAUCA,0
COROMORO,68217,SANTANDER,COROMORO - SANTANDER,0
COROZAL,70215,SUCRE,COROZAL - SUCRE,0
CORRALES,15215,BOYACA,CORRALES - BOYACA,0
COTA,25214,CUNDINAMARCA,COTA - CUNDINAMARCA,0
COTORRA,23300,CORDOBA,COTORRA - CORDOBA,0
COVARACHIA,15218,BOYACA,COVARACHIA - BOYACA,0
COVEÑAS,70221,SUCRE,COVEÑAS - SUCRE,0
COYAIMA,73217,TOLIMA,COYAIMA - TOLIMA,0
CRAVO NORTE,81220,ARAUCA,CRAVO NORTE - ARAUCA,0
CUASPUD,52224,NARIÑO,CUASPUD - NARIÑO,0
CUBARA,15223,BOYACA,CUBARA - BOYACA,0
CUBARRAL,50223,META,CUBARRAL - META,0
CUCAITA,15224,BOYACA,CUCAITA - BOYACA,0
CUCUNUBA,25224,CUNDINAMARCA,CUCUNUBA - CUNDINAMARCA,0
CUCUTA,54001,NORTE DE SANTANDER,CUCUTA - NORTE DE SANTANDER,0
CUCUTILLA,54223,NORTE DE SANTANDER,CUCUTILLA - NORTE DE SANTANDER,0
CUITIVA,15226,BOYACA,CUITIVA - BOYACA,0
CUMARAL,50226,META,CUMARAL - META,0
CUMARIBO,99773,VICHADA,CUMARIBO - VICHADA,0
CUMBAL,52227,NARIÑO,CUMBAL - NARIÑO,0
CUMBITARA,52233,NARIÑO,CUMBITARA - NARIÑO,0
CUNDAY,73226,TOLIMA,CUNDAY - TOLIMA,0
CURILLO,18205,CAQUETA,CURILLO - CAQUETA,0
CURITI,68229,SANTANDER,CURITI - SANTANDER,0
CURUMANI,20228,CESAR,CURUMANI - CESAR,0
DABEIBA,05234,ANTIOQUIA,DABEIBA - ANTIOQUIA,0
DAGUA,76233,VALLE DEL CAUCA,DAGUA - VALLE DEL CAUCA,0
DIBULLA,44090,LA GUAJIRA,DIBULLA - LA GUAJIRA,0
DISTRACCION,44098,LA GUAJIRA,DISTRACCION - LA GUAJIRA,0
DOLORES,73236,TOLIMA,DOLORES - TOLIMA,0
DON MATIAS,05237,ANTIOQUIA,DON MATIAS - ANTIOQUIA,0
DOSQUEBRADAS,66170,RISARALDA,DOSQUEBRADAS - RISARALDA,0
DUITAMA,15238,BOYACA,DUITAMA - BOYACA,0
